0.99388902 -0.04599990
0.99373971 -0.04592160
0.99304444 -0.04564292
0.99188628 -0.04517909
0.99026624 -0.04453106
0.98818568 -0.04370015
0.98564637 -0.04268802
0.98265044 -0.04149677
0.97920046 -0.04012876
0.97529937 -0.03858675
0.97095052 -0.03687379
0.96615760 -0.03499327
0.96092477 -0.03294886
0.95525654 -0.03074454
0.94915783 -0.02838455
0.94263393 -0.02587339
0.93569058 -0.02321577
0.92833384 -0.02041670
0.92057020 -0.01748129
0.91240654 -0.01441493
0.90385012 -0.01122313
0.89490858 -0.00791162
0.88558993 -0.00448620
0.87590256 -0.00095288
0.86585523 0.00268228
0.85545707 0.00641306
0.84471754 0.01023317
0.83364649 0.01413623
0.82225406 0.01811576
0.81055076 0.02216527
0.79854740 0.02627812
0.78625512 0.03044771
0.77368538 0.03466733
0.76084990 0.03893023
0.74211634 0.04234401
0.72823646 0.04429254
0.71412716 0.04622383
0.69980228 0.04813336
0.68527581 0.05001661
0.67056202 0.05186907
0.65567535 0.05368628
0.64063046 0.05546378
0.62544218 0.05719716
0.61012552 0.05888203
0.59469563 0.06051405
0.57916781 0.06208893
0.56355748 0.06360241
0.54788018 0.06505030
0.53215152 0.06642850
0.51638720 0.06773296
0.50060301 0.06895974
0.48481476 0.07010502
0.46903829 0.07116506
0.45328948 0.07213627
0.43758418 0.07301523
0.42193824 0.07379866
0.40636748 0.07448347
0.39081412 0.07506103
0.37531547 0.07550412
0.35993844 0.07580817
0.34469920 0.07597191
0.32961382 0.07599442
0.31469825 0.07587524
0.29996826 0.07561425
0.28543946 0.07521181
0.27112723 0.07466867
0.25704677 0.07398603
0.24321298 0.07316551
0.22964052 0.07220915
0.21634376 0.07111941
0.20333671 0.06989918
0.19063309 0.06855174
0.17824625 0.06708076
0.16618913 0.06549028
0.15447431 0.06378469
0.14311392 0.06196872
0.13211971 0.06004739
0.12150293 0.05802601
0.11127441 0.05591010
0.10144448 0.05370544
0.09202299 0.05141792
0.08301932 0.04905362
0.07444232 0.04661871
0.06630034 0.04411936
0.05860124 0.04156181
0.05135233 0.03895225
0.04456042 0.03629680
0.03823178 0.03360145
0.03237217 0.03087207
0.02698684 0.02811429
0.02208049 0.02533350
0.01765732 0.02253486
0.01372100 0.01972316
0.01027470 0.01690289
0.00732105 0.01407812
0.00486221 0.01125254
0.00289979 0.00842938
0.00143496 0.00561145
0.00046832 0.00280107
0.00000000 0.00000000
0.00002968 -0.00279021
0.00055278 -0.00553047
0.00156426 -0.00818303
0.00306231 -0.01074726
0.00504462 -0.01322248
0.00750845 -0.01560797
0.01045053 -0.01790298
0.01386719 -0.02010678
0.01775426 -0.02221860
0.02210717 -0.02423770
0.02692090 -0.02616334
0.03218999 -0.02799485
0.03790861 -0.02973158
0.04407051 -0.03137299
0.05066907 -0.03291862
0.05769727 -0.03436811
0.06514777 -0.03572125
0.07301285 -0.03697796
0.08128450 -0.03813834
0.08995433 -0.03920266
0.09901370 -0.04017141
0.10845364 -0.04104526
0.11826489 -0.04182515
0.12843794 -0.04251221
0.13896298 -0.04310786
0.14982996 -0.04361373
0.16102859 -0.04403173
0.17254832 -0.04436402
0.18437836 -0.04461303
0.19650772 -0.04478140
0.20892516 -0.04487207
0.22161922 -0.04488816
0.23457826 -0.04483306
0.24779039 -0.04471034
0.26124354 -0.04452378
0.27492542 -0.04427733
0.28882357 -0.04397507
0.30292532 -0.04362127
0.31721780 -0.04322024
0.33168800 -0.04277640
0.34632266 -0.04229424
0.36110842 -0.04177827
0.37603171 -0.04123299
0.39107879 -0.04066287
0.40628645 -0.04006960
0.42166162 -0.03943333
0.43711599 -0.03875228
0.45263469 -0.03803016
0.46820273 -0.03727064
0.48380509 -0.03647738
0.49942667 -0.03565390
0.51505230 -0.03480373
0.53066682 -0.03393021
0.54625503 -0.03303665
0.56180171 -0.03212618
0.57729169 -0.03120183
0.59270980 -0.03026648
0.60804092 -0.02932288
0.62327001 -0.02837362
0.63838205 -0.02742115
0.65336216 -0.02646774
0.66819553 -0.02551559
0.68286749 -0.02456668
0.69736350 -0.02362289
0.71166917 -0.02268597
0.72577025 -0.02175753
0.73965272 -0.02083910
0.76131844 -0.02148964
0.77441592 -0.02290512
0.78724217 -0.02428812
0.79978429 -0.02563742
0.81202959 -0.02695186
0.82396571 -0.02823024
0.83558057 -0.02947139
0.84686239 -0.03067419
0.85779971 -0.03183748
0.86838141 -0.03296022
0.87859667 -0.03404137
0.88843508 -0.03507996
0.89788655 -0.03607508
0.90694138 -0.03702587
0.91559023 -0.03793156
0.92382422 -0.03879141
0.93163479 -0.03960478
0.93901387 -0.04037109
0.94595379 -0.04108979
0.95244729 -0.04176044
0.95848763 -0.04238264
0.96406847 -0.04295604
0.96918394 -0.04348034
0.97382867 -0.04395529
0.97799778 -0.04438069
0.98168685 -0.04475636
0.98489201 -0.04508218
0.98760984 -0.04535803
0.98983746 -0.04558382
0.99157251 -0.04575950
0.99281316 -0.04588501
0.99355807 -0.04596034
0.99388902 -0.04599990
