1.00000000 -0.00279021
0.99983936 -0.00273903
0.99910626 -0.00258531
0.99788515 -0.00232964
0.99617719 -0.00197277
0.99398396 -0.00151577
0.99130747 -0.00095997
0.98815020 -0.00030705
0.98451508 0.00044109
0.98040549 0.00128226
0.97582525 0.00221402
0.97077860 0.00323369
0.96527026 0.00433837
0.95930537 0.00552493
0.95288950 0.00679003
0.94602866 0.00813018
0.93872930 0.00954172
0.93099827 0.01102079
0.92284285 0.01256346
0.91427075 0.01416563
0.90529007 0.01582313
0.89590933 0.01753165
0.88613744 0.01928686
0.87598368 0.02108431
0.86545776 0.02291954
0.85456973 0.02478802
0.84333000 0.02668520
0.83174938 0.02860649
0.81983899 0.03054729
0.80761030 0.03250302
0.79507511 0.03446903
0.78224554 0.03644074
0.76913403 0.03841354
0.75575330 0.04038282
0.74211634 0.04234401
0.72823646 0.04429254
0.71412716 0.04622383
0.69980228 0.04813336
0.68527581 0.05001661
0.67056202 0.05186907
0.65567535 0.05368628
0.64063046 0.05546378
0.62544218 0.05719716
0.61012552 0.05888203
0.59469563 0.06051405
0.57916781 0.06208893
0.56355748 0.06360241
0.54788018 0.06505030
0.53215152 0.06642850
0.51638720 0.06773296
0.50060301 0.06895974
0.48481476 0.07010502
0.46903829 0.07116506
0.45328948 0.07213627
0.43758418 0.07301523
0.42193824 0.07379866
0.40636748 0.07448347
0.39081412 0.07506103
0.37531547 0.07550412
0.35993844 0.07580817
0.34469920 0.07597191
0.32961382 0.07599442
0.31469825 0.07587524
0.29996826 0.07561425
0.28543946 0.07521181
0.27112723 0.07466867
0.25704677 0.07398603
0.24321298 0.07316551
0.22964052 0.07220915
0.21634376 0.07111941
0.20333671 0.06989918
0.19063309 0.06855174
0.17824625 0.06708076
0.16618913 0.06549028
0.15447431 0.06378469
0.14311392 0.06196872
0.13211971 0.06004739
0.12150293 0.05802601
0.11127441 0.05591010
0.10144448 0.05370544
0.09202299 0.05141792
0.08301932 0.04905362
0.07444232 0.04661871
0.06630034 0.04411936
0.05860124 0.04156181
0.05135233 0.03895225
0.04456042 0.03629680
0.03823178 0.03360145
0.03237217 0.03087207
0.02698684 0.02811429
0.02208049 0.02533350
0.01765732 0.02253486
0.01372100 0.01972316
0.01027470 0.01690289
0.00732105 0.01407812
0.00486221 0.01125254
0.00289979 0.00842938
0.00143496 0.00561145
0.00046832 0.00280107
0.00000000 0.00000000
0.00002968 -0.00279021
0.00055278 -0.00553047
0.00156426 -0.00818303
0.00306231 -0.01074726
0.00504462 -0.01322248
0.00750845 -0.01560797
0.01045053 -0.01790298
0.01386719 -0.02010678
0.01775426 -0.02221860
0.02210717 -0.02423770
0.02692090 -0.02616334
0.03218999 -0.02799485
0.03790861 -0.02973158
0.04407051 -0.03137299
0.05066907 -0.03291862
0.05769727 -0.03436811
0.06514777 -0.03572125
0.07301285 -0.03697796
0.08128450 -0.03813834
0.08995433 -0.03920266
0.09901370 -0.04017141
0.10845364 -0.04104526
0.11826489 -0.04182515
0.12843794 -0.04251221
0.13896298 -0.04310786
0.14982996 -0.04361373
0.16102859 -0.04403173
0.17254832 -0.04436402
0.18437836 -0.04461303
0.19650772 -0.04478140
0.20892516 -0.04487207
0.22161922 -0.04488816
0.23457826 -0.04483306
0.24779039 -0.04471034
0.26124354 -0.04452378
0.27492542 -0.04427733
0.28882357 -0.04397507
0.30292532 -0.04362127
0.31721780 -0.04322024
0.33168800 -0.04277640
0.34632266 -0.04229424
0.36110842 -0.04177827
0.37603171 -0.04123299
0.39107879 -0.04066287
0.40628645 -0.04006960
0.42166162 -0.03943333
0.43711599 -0.03875228
0.45263469 -0.03803016
0.46820273 -0.03727064
0.48380509 -0.03647738
0.49942667 -0.03565390
0.51505230 -0.03480373
0.53066682 -0.03393021
0.54625503 -0.03303665
0.56180171 -0.03212618
0.57729169 -0.03120183
0.59270980 -0.03026648
0.60804092 -0.02932288
0.62327001 -0.02837362
0.63838205 -0.02742115
0.65336216 -0.02646774
0.66819553 -0.02551559
0.68286749 -0.02456668
0.69736350 -0.02362289
0.71166917 -0.02268597
0.72577025 -0.02175753
0.73965272 -0.02083910
0.75330269 -0.01993208
0.76670653 -0.01903777
0.77985082 -0.01815740
0.79272237 -0.01729213
0.80530825 -0.01644301
0.81759576 -0.01561111
0.82957254 -0.01479738
0.84122646 -0.01400278
0.85254575 -0.01322824
0.86351891 -0.01247461
0.87413481 -0.01174280
0.88438262 -0.01103366
0.89425191 -0.01034805
0.90373259 -0.00968682
0.91281496 -0.00905082
0.92148969 -0.00844089
0.92974790 -0.00785786
0.93758105 -0.00730258
0.94498109 -0.00677588
0.95194038 -0.00627856
0.95845169 -0.00581144
0.96450830 -0.00537529
0.97010393 -0.00497088
0.97523273 -0.00459892
0.97988937 -0.00426010
0.98406901 -0.00395508
0.98776727 -0.00368445
0.99098031 -0.00344875
0.99370475 -0.00324846
0.99593774 -0.00308400
0.99767694 -0.00295572
0.99892053 -0.00286389
0.99966721 -0.00280872
1.00000000 -0.00279021
